"2","By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us.","First party use"
"6","provide it to us","Collection"
"6","provide it to us","Collection"
"7","provide information to us,","First party collection"
"12","serve cookies","Use"
"15","register your preferences or choices, or to opt out of behavioral advertising offered by participants in these programs,","Third party use"
"18","to send newsletters and text messages that you have opted to receive","Use"
"19","you supply","Collection"
"19","publish","Use"
"23","provide your personally identifiable information","Collection"
"23","For rules or requirements for contests, promotions, polls, surveys and/or newsletters, please see the applicable page on our Site.","Unspecified"
"23","For rules or requirements for contests, promotions, polls, surveys and/or newsletters, please see the applicable page on our Site.","Unspecified"
"29","ongoing communications","First party use"
"29","ongoing communications","First party use"
"29","You may terminate any ongoing communications you receive from Miami New Times via e-mail (such as newsletters, subscriptions, contest results, survey inquiries, etc.)","First party use"
"29","You may terminate any ongoing communications you receive from Miami New Times via e-mail (such as newsletters, subscriptions, contest results, survey inquiries, etc.)","First party use"
"6","information","Collection"
"6","information","Collection"
"6","information","Collection"
"7","information to us,","First party collection"
"7","information to us,","First party collection"
"7","information to us,","First party collection"
"12","You are always free to decline our cookies","Collection"
"12","You are always free to decline our cookies","Collection"
"12","You are always free to decline our cookies","Collection"
"15","To register your preferences or choices,","Third party sharing/collection"
"15","to opt out of behavioral advertising offered by participants in these programs,","Third party use"
"18","to send newsletters and text messages","Use"
"18","to send newsletters and text messages","Use"
"19","certain information to us (such as your real name, daytime telephone number and/or e-mail address) in connection with comments and other submissions to the Site.","Collection"
"19","certain information to us (such as your real name, daytime telephone number and/or e-mail address) in connection with comments and other submissions to the Site.","Collection"
"19","you send us comments or other submissions","First party collection"
"19","withhold your name and address when provided in connection with comments and other submissions, both in print and on-line,","First party use"
"23","your personally identifiable information will be given to Miami New Times","First party collection"
"23","to the third-party advertiser/sponsor involved with the relevant contest, promotion, poll, survey or newsletter and/or its agents and affiliates.","Third party sharing/collection"
"29","You may terminate any ongoing communications you receive from Miami New Times via e-mail (such as newsletters, subscriptions, contest results, survey inquiries, etc.)","First party use"
"29","You may terminate any ongoing communications you receive from Miami New Times via e-mail (such as newsletters, subscriptions, contest results, survey inquiries, etc.)","First party use"
